Image,Class,Method,Deletion AUC,Insertion AUC
24,churros,Ablation-CAM,0.20475550426635894,0.7287868938688188
25,churros,Grad-CAM,0.03802427522372455,0.3211049640271813
25,churros,Grad-CAM++,0.059151026164181525,0.23638940182514487
25,churros,Score-CAM,0.06281210911925883,0.2660452487878501
25,churros,Ablation-CAM,0.042810237235389646,0.303000768776983
26,churros,Grad-CAM,0.17136481096968056,0.7613134724926203
26,churros,Grad-CAM++,0.17532220963854345,0.7517899252381175
26,churros,Score-CAM,0.16339994687587026,0.772352236667648
26,churros,Ablation-CAM,0.18409811798017472,0.7539117042534054
27,churros,Grad-CAM,0.41274796597659585,0.8951844337023794
27,churros,Grad-CAM++,0.38198625937104225,0.8980071257892995
27,churros,Score-CAM,0.36584704356268055,0.9228739544376731
27,churros,Ablation-CAM,0.38352218041196473,0.899077770365402
28,churros,Grad-CAM,0.42100198235362774,0.9047480710316449
28,churros,Grad-CAM++,0.433141290168278,0.9024775926955044
28,churros,Score-CAM,0.4242494502011687,0.9075105440616607
28,churros,Ablation-CAM,0.4179049744270742,0.8985229058191181
29,churros,Grad-CAM,0.41326115627307447,0.8380341670429334
29,churros,Grad-CAM++,0.4170065517444163,0.8331223559379578
29,churros,Score-CAM,0.3571995746158063,0.8363664555409922
29,churros,Ablation-CAM,0.41899597786832604,0.829576792330481
30,churros,Grad-CAM,0.35127593911252913,0.934510454395786
30,churros,Grad-CAM++,0.32820340541191406,0.9374353408813476
30,churros,Score-CAM,0.2808576422696933,0.9496136891376228
30,churros,Ablation-CAM,0.30066438514273613,0.9507097849063574
31,churros,Grad-CAM,0.07033936802065,0.16050876178778703
31,churros,Grad-CAM++,0.05352814495097846,0.1565965835051611
31,churros,Score-CAM,0.05944232761859893,0.15489990194560957
31,churros,Ablation-CAM,0.06047887966036796,0.16844887546496468
32,churros,Grad-CAM,0.20314523091074077,0.900843013972044
32,churros,Grad-CAM++,0.2168978296034038,0.8521717424690725
32,churros,Score-CAM,0.1806005821051076,0.8648366664163768
32,churros,Ablation-CAM,0.20350101991556585,0.8693402901757508
33,churros,Grad-CAM,0.1578973645437509,0.8714105931296945
33,churros,Grad-CAM++,0.15373640017583967,0.8619876657333224
33,churros,Score-CAM,0.1991797581315041,0.8644975205417722
33,churros,Ablation-CAM,0.14435969637706877,0.8637878710310906
34,churros,Grad-CAM,0.3052074074279517,0.8845936113502832
34,churros,Grad-CAM++,0.3053069855645299,0.8813143239263446
34,churros,Score-CAM,0.29849896112456925,0.8932574957609178
34,churros,Ablation-CAM,0.29401473840698605,0.8782005203980952
35,churros,Grad-CAM,0.11048073755111545,0.6758521324675529
35,churros,Grad-CAM++,0.11026710991747679,0.6803964108228685
35,churros,Score-CAM,0.13276818212587385,0.6860948866419494
35,churros,Ablation-CAM,0.12607713908422738,0.6784507968090476
36,churros,Grad-CAM,0.3168914394872263,0.9387984257843346
36,churros,Grad-CAM++,0.3141516819689423,0.9400102196913213
36,churros,Score-CAM,0.2965930466074497,0.9493495839182285
36,churros,Ablation-CAM,0.3001645933790132,0.9455282885208726
37,churros,Grad-CAM,0.041856216578744346,0.10449170201085506
37,churros,Grad-CAM++,0.03547856651246548,0.04599389364942908
37,churros,Score-CAM,0.050690691885538396,0.043116483157500614
37,churros,Ablation-CAM,0.03172182700131089,0.04169782813638449
38,churros,Grad-CAM,0.029094800218008456,0.15355249758809805
38,churros,Grad-CAM++,0.031461076149716966,0.14181185375899077
38,churros,Score-CAM,0.02197798847220838,0.13422847736626864
38,churros,Ablation-CAM,0.18991102080792188,0.035348583073355255
39,churros,Grad-CAM,0.05793387478683145,0.8184384533856064
39,churros,Grad-CAM++,0.05293498718121554,0.8187205628491938
39,churros,Score-CAM,0.0474163683061488,0.8344102904573082
39,churros,Ablation-CAM,0.04807337759411894,0.8260991546791048
40,churros,Grad-CAM,0.406100932448171,0.8831615093071015
40,churros,Grad-CAM++,0.40303821450099353,0.8810557458736002
40,churros,Score-CAM,0.3898555999062955,0.8863476497493683
40,churros,Ablation-CAM,0.3948261442082003,0.8777356847561896
41,churros,Grad-CAM,0.07795350461266935,0.7986919986549765
41,churros,Grad-CAM++,0.0848560934793204,0.7282837015017867
41,churros,Score-CAM,0.05328944324981422,0.7941382198315113
41,churros,Ablation-CAM,0.07534534003585577,0.787876720689237
42,churros,Grad-CAM,0.14274112415499987,0.5502418631780893
42,churros,Grad-CAM++,0.16546768298372627,0.5008079489134253
42,churros,Score-CAM,0.1743973023118451,0.5587396351154893
42,churros,Ablation-CAM,0.14406736064702272,0.532922017229721
43,churros,Grad-CAM,0.2524422121373937,0.8745282178465277
43,churros,Grad-CAM++,0.26045760849956423,0.867314655855298
43,churros,Score-CAM,0.23953656079247593,0.8880550420377403
43,churros,Ablation-CAM,0.24943779481574893,0.8763407233636826
44,churros,Grad-CAM,0.17750350338872523,0.5058413269929587
44,churros,Grad-CAM++,0.2500207290332765,0.4804383583087474
44,churros,Score-CAM,0.23219662135932595,0.4600395916588605
44,churros,Ablation-CAM,0.20909040480386468,0.5085924115777015
45,churros,Grad-CAM,0.3779993053944782,0.8282532647065817
45,churros,Grad-CAM++,0.420174941085279,0.8145988567825407
45,churros,Score-CAM,0.3762858109734952,0.8254939685203134
45,churros,Ablation-CAM,0.4096856434550137,0.8210116027109325
46,churros,Grad-CAM,0.2915362242795528,0.6395212731417269
46,churros,Grad-CAM++,0.32316002393607046,0.6027210721001028
46,churros,Score-CAM,0.31245549488812685,0.6085251481179149
46,churros,Ablation-CAM,0.27035235876217484,0.6488167759403585
47,churros,Grad-CAM,0.30314200279768555,0.8799688041117042
47,churros,Grad-CAM++,0.3057924274401739,0.8802968873176723
47,churros,Score-CAM,0.28251804487779736,0.8860499085951596
47,churros,Ablation-CAM,0.29594606247264893,0.8822757557872682
48,churros,Grad-CAM,0.4658232862642035,0.9137259368505329
48,churros,Grad-CAM++,0.4699884056579322,0.9149664265476167
48,churros,Score-CAM,0.43078779208008205,0.8986375756654889
48,churros,Ablation-CAM,0.46645391051191837,0.9148285778146238
49,churros,Grad-CAM,0.24533033671788873,0.9188182853814215
49,churros,Grad-CAM++,0.2465035115927458,0.9277965755108744
49,churros,Score-CAM,0.22425638576969506,0.940583642628044
49,churros,Ablation-CAM,0.23859230325091632,0.9376426901761441
50,churros,Grad-CAM,0.03084026279779209,0.3616958509758114
50,churros,Grad-CAM++,0.03359133692902106,0.21153116097673771
50,churros,Score-CAM,0.05347204709716607,0.21763783638365566
50,churros,Ablation-CAM,0.3986784995766357,0.0787464247213211
51,churros,Grad-CAM,0.061520613578613846,0.8004312053788453
51,churros,Grad-CAM++,0.06403825152665378,0.770423129769042
51,churros,Score-CAM,0.03498784245457501,0.838704381491989
51,churros,Ablation-CAM,0.05941663073375822,0.7926846611220391
52,churros,Grad-CAM,0.04356972468551248,0.7463058676104993
52,churros,Grad-CAM++,0.05156071987003088,0.6832553728576749
52,churros,Score-CAM,0.029459910111036148,0.7625239165406674
52,churros,Ablation-CAM,0.04423331078141928,0.7890275555010886
53,churros,Grad-CAM,0.3297359700175002,0.7085923403222114
53,churros,Grad-CAM++,0.3117605115426705,0.7077481916733085
53,churros,Score-CAM,0.3313341108942404,0.7021109484042973
53,churros,Ablation-CAM,0.32906833618413656,0.705113609675318
54,churros,Grad-CAM,0.06045919928932562,0.5349817539704964
54,churros,Grad-CAM++,0.10255671619437634,0.46407234409358344
54,churros,Score-CAM,0.09974178967531772,0.44546383431181313
54,churros,Ablation-CAM,0.09628190496005118,0.5011543946387247
55,churros,Grad-CAM,0.22406435741111635,0.8473098225146533
55,churros,Grad-CAM++,0.23955141028389337,0.8425943839363754
55,churros,Score-CAM,0.24050858017522841,0.8340917167812586
55,churros,Ablation-CAM,0.20570645868312568,0.8506025497242808
56,churros,Grad-CAM,0.20410834259353577,0.6347412431892008
56,churros,Grad-CAM++,0.19933921446092426,0.6327722961548716
56,churros,Score-CAM,0.2401355422241613,0.6357775173336268
56,churros,Ablation-CAM,0.21729512849822638,0.6301002589054405
57,churros,Grad-CAM,0.22653084949124605,0.8378460372705011
57,churros,Grad-CAM++,0.23333742721471937,0.8335656708106398
57,churros,Score-CAM,0.22860937604680656,0.8323670487757773
57,churros,Ablation-CAM,0.23559514861088246,0.8363616133015602
58,churros,Grad-CAM,0.1122359153162688,0.805859826700762
58,churros,Grad-CAM++,0.10970382312312722,0.8169874204602093
58,churros,Score-CAM,0.17476874924264849,0.82064098123461
58,churros,Ablation-CAM,0.16914432696998116,0.8190726347733288
59,churros,Grad-CAM,0.28565498715732246,0.7834841866791249
59,churros,Grad-CAM++,0.3245237658033147,0.7888119551539422
59,churros,Score-CAM,0.3130774811981246,0.7932098086643964
59,churros,Ablation-CAM,0.3128866796754301,0.7892220801021904
60,churros,Grad-CAM,0.4845629428932443,0.7296316705364734
60,churros,Grad-CAM++,0.5074220317555592,0.6879128850717099
60,churros,Score-CAM,0.5099298065062612,0.7806563966162503
60,churros,Ablation-CAM,0.5059425875544549,0.7005519249755888
61,churros,Grad-CAM,0.19680203125346454,0.8315803267154842
61,churros,Grad-CAM++,0.20171610100660473,0.8313222026638688
61,churros,Score-CAM,0.19932873824611308,0.8286941573489458
61,churros,Ablation-CAM,0.21012214319314804,0.8324378378875553
62,churros,Grad-CAM,0.10612599075771868,0.9205252032075077
62,churros,Grad-CAM++,0.10957619545515625,0.9230685448460281
62,churros,Score-CAM,0.1070080999052152,0.9270424484275279
62,churros,Ablation-CAM,0.10630088228266688,0.9224278866499662
63,churros,Grad-CAM,0.14757260812446477,0.7892989136371761
63,churros,Grad-CAM++,0.15966710889711974,0.7850897833146154
