Method,Deletion AUC,Insertion AUC
Ablation-CAM,0.24705116796641668,0.719173578720077
Grad-CAM,0.22322410286257874,0.7446460889515001
Grad-CAM++,0.23437602076959302,0.71911120840644
Score-CAM,0.2283265152797234,0.7347248225892429
